hotel_id,hotel_name,area,n_reviews,mean_rating,median_rating,low_share,high_share,median_word_count,details_coverage_pct,google_source_share_pct,sample_support,analysis_confidence,top_aspects,top_strength_signals,top_concern_signals
BOD058,Bodrum Beach Resort,Gümbet,10,4.4,5.0,0.1,0.8,64.5,50.0,70.0,LOW_SUPPORT,LOW,ROOM;FOOD;FAMILY_KIDS;POOL;PRICE_VALUE,ROOM;FOOD;POOL,COMMUNICATION;CHECKIN_CHECKOUT;FACILITIES
BOD060,Club Shark Hotel,Gümbet,78,4.307692307692308,5.0,0.141,0.846,38.5,65.4,93.6,STRONGER,HIGH,STAFF;CLEANLINESS;FOOD;ROOM;ANIMATION_ENTERTAINMENT,STAFF;CLEANLINESS;FOOD,CHECKIN_CHECKOUT;REFUND_PAYMENT
BOD061,Gümbet Anıl Beach,Gümbet,65,4.0,5.0,0.154,0.708,39.0,69.2,95.4,STRONGER,HIGH,FOOD;ROOM;STAFF;CLEANLINESS;BEACH_SEA,FOOD;ROOM;STAFF,CHECKIN_CHECKOUT;FACILITIES;RESERVATION
BOD063,Jasmin Beach Hotel,Gümbet,30,3.7666666666666666,5.0,0.267,0.633,86.0,83.3,86.7,MODERATE,MEDIUM,FOOD;ROOM;CLEANLINESS;STAFF;BAR_DRINKS,FOOD;CLEANLINESS;ROOM,RESERVATION;COMMUNICATION;AIR_CONDITIONING
BOD064,Jasmin Elite Residence & Spa,Gümbet,29,3.793103448275862,5.0,0.276,0.69,40.0,65.5,96.6,MODERATE,MEDIUM,ROOM;CLEANLINESS;STAFF;FOOD;LOCATION,ROOM;CLEANLINESS;FOOD,STAFF;CHECKIN_CHECKOUT;COMMUNICATION
BOD065,Mirada Exclusive Bodrum,Gümbet,21,4.428571428571429,5.0,0.048,0.857,146.0,81.0,90.5,MODERATE,MEDIUM,FOOD;STAFF;BEACH_SEA;BAR_DRINKS;ROOM,FOOD;BEACH_SEA;STAFF,
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,10,4.0200000000000005,4.6,0.1,0.7,147.0,70.0,80.0,LOW_SUPPORT,LOW,STAFF;ROOM;FOOD;ANIMATION_ENTERTAINMENT;BEACH_SEA,ROOM;FOOD;STAFF,MANAGEMENT;REFUND_PAYMENT
BOD067,Sami Beach Hotel,Gümbet,59,3.8135593220338975,5.0,0.254,0.695,42.0,55.9,93.2,STRONGER,HIGH,FOOD;STAFF;ROOM;BEACH_SEA;CLEANLINESS,FOOD;STAFF;BEACH_SEA,ROOM;FACILITIES;CHECKIN_CHECKOUT
BOD068,Selectum Colours Bodrum,Gümbet,10,3.9,4.5,0.2,0.7,210.0,90.0,90.0,LOW_SUPPORT,LOW,BAR_DRINKS;STAFF;FOOD;CLEANLINESS;ROOM,BAR_DRINKS;ROOM;FOOD,
BOD070,The Luvi Hotel,Gümbet,30,3.733333333333333,5.0,0.267,0.667,69.0,76.7,90.0,MODERATE,MEDIUM,STAFF;CLEANLINESS;ROOM;FOOD;BEACH_SEA,CLEANLINESS;STAFF;FOOD,FACILITIES;AIR_CONDITIONING;NOISE
BOD071,Tropicana Beach Hotel,Gümbet,25,3.36,4.0,0.32,0.52,45.0,76.0,96.0,MODERATE,MEDIUM,STAFF;ROOM;CLEANLINESS;FOOD;BEACH_SEA,LOCATION;FAMILY_KIDS;TRANSPORT_TRANSFER,CLEANLINESS;NOISE;PRICE_VALUE
BOD073,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,26,4.153846153846154,5.0,0.154,0.769,34.0,30.8,76.9,MODERATE,MEDIUM,FOOD;STAFF;ROOM;PRICE_VALUE;BEACH_SEA,FOOD;BEACH_SEA;PRICE_VALUE,NOISE;REFUND_PAYMENT
BOD074,Begonvil Gümüşlük,Gümüşlük,28,4.857142857142857,5.0,0.0,0.964,19.5,71.4,100.0,MODERATE,MEDIUM,CLEANLINESS;BEACH_SEA;ROOM;LOCATION;MANAGEMENT,CLEANLINESS;BEACH_SEA;ROOM,
BOD077,Ladonia Hotels Zemda,Gümüşlük,20,2.05,1.0,0.75,0.25,58.5,65.0,85.0,MODERATE,MEDIUM,CLEANLINESS;ROOM;STAFF;BEACH_SEA;PRICE_VALUE,,CLEANLINESS;ROOM;STAFF
BOD080,Myndos Oda & kahvalti,Gümüşlük,10,3.8,5.0,0.3,0.7,34.5,80.0,90.0,LOW_SUPPORT,LOW,ROOM;CLEANLINESS;BEACH_SEA;STAFF;LOCATION,ROOM;BEACH_SEA;STAFF,CLEANLINESS;BEACH_SEA;LOCATION
BOD086,Vega Aparts,Gümüşlük,10,4.5,5.0,0.1,0.8,63.5,60.0,80.0,LOW_SUPPORT,LOW,STAFF;CLEANLINESS;PRICE_VALUE;ROOM;LOCATION,STAFF;CLEANLINESS;PRICE_VALUE,BAR_DRINKS;CHECKIN_CHECKOUT
BOD087,Wanderheaven Camping & Tiny House Bodrum,Gümüşlük,10,3.2,4.0,0.4,0.5,95.5,60.0,90.0,LOW_SUPPORT,LOW,CLEANLINESS;FACILITIES;BEACH_SEA;PRICE_VALUE;LOCATION,BEACH_SEA;PRICE_VALUE;ROOM,CLEANLINESS;FACILITIES;MANAGEMENT
BOD088,Baia Bodrum Hotel,Gündoğan,20,3.7,4.0,0.25,0.65,38.0,45.0,75.0,MODERATE,MEDIUM,ROOM;FOOD;BEACH_SEA;STAFF;BAR_DRINKS,ROOM;STAFF;BEACH_SEA,FACILITIES;PRICE_VALUE;CHECKIN_CHECKOUT
