hotel_id,hotel_name,area,platform,direct_url,status,checked_at,note,discovery_method,confidence_score,detected_hotel_name
BOD145,Moyo Luxury Hotel & Beach,Torba,google_travel,https://www.google.com/travel/hotels/entity/ChoI2tv28brhtZ7_ARoNL2cvMTFmZ203c2czcBAB?q=Moyo%20Luxury%20Hotel%20%26%20Beach%20Torba%20Bodrum&ved=2ahUKEwij_8Panr6WAxXmZkECHYt_Ff8QvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgIKAA&ap=KigKEgnB3J8T-YlCQBGp3NIwsHU7QBISCfB6PCqkikJAEanc0qTgdjtA,verified_direct,2026-08-26T11:57:10Z,"detected='Moyo Luxury Hotel & Beach' vs expected='Moyo Luxury Hotel & Beach' (card near-text was 'Moyo Luxury Hotel & Beach otelini yeni sekmede aç', 37 candidates on page) -> score=95",,95,Moyo Luxury Hotel & Beach
BOD146,Olivia Hotel,Torba,google_travel,https://www.google.com/travel/hotels/entity/ChgI5pTP-e-O0PtIGgwvZy8xaGM3a3IzcHQQAQ?q=Olivia%20Hotel%20Torba%20Bodrum&ved=2ahUKEwjpiIXinr6WAxXYLAYAHQiYBaYQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,verified_direct,2026-08-26T11:57:25Z,"detected='Olivia Hotel' vs expected='Olivia Hotel' (card near-text was 'Olivia Hotel otelini yeni sekmede aç', 37 candidates on page) -> score=95",,95,Olivia Hotel
BOD147,Omar Hotel & Suites,Torba,google_travel,https://www.google.com/travel/hotels/entity/ChgInsrCgN2-jv2xARoLL2cvMXRmaHZfNzMQAQ?q=Omar%20Hotel%20%26%20Suites%20Torba%20Bodrum&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ&ved=2ahUKEwiV36zpnr6WAxWiOQYAHYDAHI4QvukIegQIAxAC,verified_direct,2026-08-26T11:57:41Z,"detected='Omar Hotel & Suites' vs expected='Omar Hotel & Suites' (card near-text was 'Omar Hotel & Suites otelini yeni sekmede aç', 37 candidates on page) -> score=95",,95,Omar Hotel & Suites
BOD148,Rixos Premium Bodrum,Torba,google_travel,https://www.google.com/travel/hotels/entity/ChgIs66GzsSM5PSHARoLL2cvMXR4MTJwZDMQAQ?q=Rixos%20Premium%20Bodrum%20Torba%20Bodrum&ved=2ahUKEwiIsdX1nr6WAxV2YkECHUKPNxIQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgIKAA,verified_direct,2026-08-26T11:58:07Z,"detected='Rixos Premium Bodrum' vs expected='Rixos Premium Bodrum' (card near-text was 'Rixos Premium Bodrum otelini yeni sekmede aç', 37 candidates on page) -> score=95",,95,Rixos Premium Bodrum
BOD149,Roota Bodrum,Torba,google_travel,,NOT_FOUND,2026-08-26T11:58:21Z,"detected='Roota Bodrum · 424 sonuç' vs expected='Roota Bodrum' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=69",,69,Roota Bodrum · 424 sonuç
BOD150,Samara Hotel,Torba,google_travel,https://www.google.com/travel/hotels/entity/ChgI1qjkw_2X2LexARoLL2cvMXZxdDJicDUQAQ?q=Samara%20Hotel%20Torba%20Bodrum&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ&ved=2ahUKEwjp9qKNn76WAxXIKwYAHZBnFE8QvukIegQIAxAC,verified_direct,2026-08-26T11:58:56Z,"detected='Samara Hotel' vs expected='Samara Hotel' (card near-text was 'Samara Hotel otelini yeni sekmede aç', 37 candidates on page) -> score=95",,95,Samara Hotel
BOD151,Sarpedor Boutique Hotel & SPA,Torba,google_travel,,review_required,2026-08-26T11:59:18Z,"detected='Sarpedor Boutique Hotel & Spa · 614 sonuç' vs expected='Sarpedor Boutique Hotel & SPA' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=81",,81,Sarpedor Boutique Hotel & Spa · 614 sonuç
BOD152,"Susona Bodrum, LXR Hotels & Resorts",Torba,google_travel,https://www.google.com/travel/hotels/entity/ChkIgfXTtKuLypd6Gg0vZy8xMWZ0eGs5bng1EAE?q=Susona%20Bodrum%2C%20LXR%20Hotels%20%26%20Resorts%20Torba%20Bodrum&ved=2ahUKEwjlpcWgn76WAxVEi3wGHT5JC3YQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,verified_direct,2026-08-26T11:59:36Z,"detected='Susona Bodrum, LXR Hotels & Resorts' vs expected='Susona Bodrum, LXR Hotels & Resorts' (card near-text was 'Susona Bodrum, LXR Hotels & Resorts otelini yeni sekmede aç', 37 candidates on page) -> score=95",,95,"Susona Bodrum, LXR Hotels & Resorts"
BOD153,The Oba Hotel,Torba,google_travel,https://www.google.com/travel/hotels/entity/ChkIwJfY9v-yi5BTGg0vZy8xMWw0bXpnNHpsEAE?q=The%20Oba%20Hotel%20Torba%20Bodrum&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ&ved=2ahUKEwjI19Wnn76WAxWJOQYAHSpSBBkQvukIegQIAxAC,verified_direct,2026-08-26T11:59:51Z,"detected='The Oba Hotel' vs expected='The Oba Hotel' (card near-text was 'The Oba Hotel otelini yeni sekmede aç', 37 candidates on page) -> score=95",,95,The Oba Hotel
BOD154,Toka Bodrum Hotel & Beach Club,Torba,google_travel,,review_required,2026-08-26T12:00:08Z,"detected='Toka Bodrum Hotel & Beach Club · 424 sonuç' vs expected='Toka Bodrum Hotel & Beach Club' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=81",,81,Toka Bodrum Hotel & Beach Club · 424 sonuç
