otel_adi,yorum,hizmet,tarih,puan
Selvi Bodrum,"4 gece 5 gun ailem ile beraber konakladim, konumundan dolayi otel disindaki programlarima uygun diye tercih ettim.
Haksizlik etmek inanin istemem pek de kotu yorum yapan birisi degilim; resepsiyondaki ilgilenen arkadaslari rezervasyondan check out surecine kadar… ve odayi temizleme konusunda var gücü ile calismaya calisan ablaya haksizlik etmek gercekten istemem.
Odalar eski, olabildigince temiz…
Banyolar eski, yeterince temiz degil…
Banyo bataryalari pasli. Resimlerdeki sempatik otel goruntusunu ben goremedim, enerji anlaminda beklentimle ortusmedi…
-Restoran kotu degil evet ancak fiyat performans olarak oldukca pahali. Genelleme yapmak istemem ancak calisanlari hizmet ve tarz, tavir anlaminda kendimce yeterli bulmadim.
-Devamli cocuk sesi var.
-Denizi ve sahili gayet guzel…
-Konumu turkbuku ve cennet koyunun tam ortasinda muazzam.
Beklentimin cok altindaydi. Yuksek ya da cok yuksek fiyatli cevre otellerle kiyaslamiyorum","Odalar1,0Hizmet1,0Konum5,0",Google üzerinde 3 yıl önce,1/5
Selvi Bodrum,"Siz oraya huzur bulmaya gidersiniz.
Birde bakmışsınız ki Hotel sahibi yolunuzu keserek sizin dışarıdan kaçak giriş yapan biri olduğunuzu düşünerek hesap sormaya başlamış.
Berbat bir durumdu.
Çalışanlar fark edip özür diledi fakat patrona bişey diyemediler.
Bende bir dahaa kesinlikle oraya gelmeyeceğimi ve kimseye tavsiye etmeyeceğimi söyledim zaten.
Bu arada küçük 💦 su 35 TL. İdi?
Bir kişilik yemek porsiyonları ilede karnınız doymuyor.","Hizmet1,0Konum2,0
Otelde öne çıkanlarÇocuklar için uygun",Google üzerinde 2 yıl önce,1/5
Selvi Bodrum,Biz denize girmek için tercih etmiştik. 300tl tesis kullanım bedeli ve 600₺ minimum harcama yapmanız isteniyor. Ortam çok güzel yeşillik ağaçlar ve havuzu çok dinlendirici. Fakat yemekler facia ben ve arkadaşım mantı istemiştik hayatımızda yediğimiz en kötü mantıydı diğer arkadaşımız da burger söyledi o da aynı şekilde lezzetsizdi. Saat 16:00 gibi çıkan özel bir kurabiye var o aşırı lezzetli ve güzeldi ama yemek konusunda gerçekten kocaman bir hayal kırıklığı.,"Hizmet4,0Konum5,0",Google üzerinde bir yıl önce,3/5
Selvi Bodrum,"Denizi ve bahçesi güzel. Odalar eski ama kullanışlı ve geniş, balkonlu, odalarda her şey var. Havuzu temiz. Şezlong tarafı biraz bakımsız, her yerde büyük sokak köpekler geziyor. Kahvaltı çeşit olarak iyi fakat sıraya giriyorsunuz çalışanlar istediklerinizi, duydukları kadarıyla tabağınıza koyuyor ve haliyle sıra oluyor. Kalabalık bir otel, masalar kahvaltı sırasında yetersiz kalabiliyor. Harcama kartı sistemi ile çalışıyorlar, para yüklüyorsunuz ve sonra ekstra harcamalarınızı o paradan düşüyorlar.",,Google üzerinde 3 yıl önce,3/5
Selvi Bodrum,"Oda kahvaltı konaklama konsepti var. Odalar 2-3 kişilik. Mekanın konumu çok güzel. Havuz çocuk havuzuyla birlikte yeterli büyüklükte. Palmiye bahçesi ve çimenlik alanı var. Restoranı denize sıfır. Kahvaltısı yeterli. Odalar büyük ve geniş balkonlu. Ama odaların balkonları arasında delikli ahşap olduğundan yan odanınzda ki kişilerle balkonda yanyana oturuyormuşsunuz gibi oluyor, fısıltılı bile konuşulsa duyuluyor. Personel iyi güleryüzlü. Taşfırın ürünleri çok lezzetli. Çocuklu ailelere uygun. Sezon zamanı çocuk gürültüsü oluyor sessizlik isteyenler için uygun değil. Konaklama süresince olumsuz bir şeyle karşılaşmadım. Keyifli bir tatildi çok teşekkürler 🙏 Tavsiye edilir.","Odalar4,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Romantik · Çocuklar için uygun",Google üzerinde 2 yıl önce düzenlendi,5/5
Selvi Bodrum,"Maalesef odalar cok fena kokuyor ve cok eski. Garsonlar cok cana yakin ve caliskan. Fakat genc bir beyefendi (sahiplerden sanirim, aksam dugun organizasyonlarinda ortaya cikiyor) biraz misafirperverlikten uzak bir karakter. Dugun gunleri otel musterisi olarak dogruduzgun restorandan bir servis bile alamiyorsunuz. Tatiliniz dugune denk gelirse tatsiz bir tatil sizi bekliyor.","Odalar2,0Hizmet3,0Konum4,0",Google üzerinde bir yıl önce,3/5
Selvi Bodrum,"Odalarını bilmem ama büyük bir düğün organizasyonu için gitmiştim. Masada ray ban gözlüğümüzü unuttuk. Masayı hemen karşıdan gören güvenlik kameraları da mevcuttu. Ertesi gün arayıp yerini tarif etmemize rağmen gözlük bulunamadı. Üstelik güvenlik kameraları da çalışmıyormuş 😄😄 bakalım dediler biz devamlı arayıp sorduk yok bulunamadı deyip olayı kapattılar. Organizasyon firması oteli, otel organizasyonu suçlayıp duruyor. Yok elemanlar bizim elemanımız değildi vs diye. Madem dışarıdan eleman çalıştırıyorsunuz kameralar neden çalışmıyor? Değişik. Konumu yeri güzel 2-3 kere düğünüme gittim ama bu son olay midemi bulandırdı.","Odalar1,0Hizmet1,0Konum1,0",Google üzerinde 2 yıl önce,1/5
Selvi Bodrum,"Geniş bahçesi, plajı gayet keyifli. Odamız gayet temiz ve düzenliydi. Kahvaltısı geniş ve güzeldi. Çalışanları yardım sever, kibar. Özellikle bizimle ilgilenen Bilal isimli arkadaş iyi niyetli ve güler yüzlü. Rezervasyon durumunun da uygun olması ile beraber, bizi uygun olan bir odaya erken şekilde yerleştirdiler ve çıkış yapacağımız günde çıkış saati için yardımcı oldular. 10 üzerinden 10 veriyorum. Gözlemlediğim tek problem yaratabilecek durum, hayvan sever bir işletme :) kedileri köpekleri var, kahvaltı esnasında ziyaretçileriniz olabilir kediler :) Civardaki nerdeyse bütün işletmelerde ve kıyı boyunca bolca hayvan görebilirsiniz, o yüzden çokta ayırt edici bir konu değil. Gönül rahatlığı ile konaklayabilirsiniz.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 4 yıl önce,5/5
Selvi Bodrum,Geçen senelerde ücretsiz dağıtılan kurabiyeler ücretli olmus. 900 lira günlük giriş ücreti ve şezlong fiyati 300(eskiden almiyorlardi) kesiyorlar. Ortam guzel ama fiyata degmez.,"Hizmet3,0Konum4,0
Otelde öne çıkanlarRomantik · Sessiz",Google üzerinde 2 yıl önce,2/5
Selvi Bodrum,Bodrumda ilk kez sıcak bira servisine şahit oldum. Ayrıca giriste kişi başı 900 tl alındı ve bunun 300 tl sinin tesis kullanımı oldugu soylenmedı. Bira soguk degıl dediğimde bardaki sorumlu arkadas ben uzun süreli burda değilim dolapların çalışmadığını söyledim dedi. Baştan sona kötü bir deneyimdi,,Tripadvisor üzerinde 2 yıl önce,1/5
Selvi Bodrum,"Konum anlamında deniz sıfırdır. Giriş için 300 tl ücret alınırken, 600 tl harcama limiti vardır. … Devamı",,Google üzerinde 2 yıl önce,5/5
Selvi Bodrum,"24-27 Temmuz tarihlerinde 3 gece konakladık. Tesis genel olarak çok güzel. Denize sıfır, şezlong&şemsiye yeterli sayıda, çok iştahlı biri olmadığım için kahvaltı çeşitliliği de benim için yeterliydi. Ancak kaldığımız odanın tuvaletinde … Devamı",,Google üzerinde 5 yıl önce,3/5
